node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing,processing,sending_time,functions
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.04,0.00,23.51,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.70153903961,0,,0,0,,0.35,8.25,23.57,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.03,0.00,21.04,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.74857997894,0,,0,0,,0.37,2.14,21.95,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.852142095566,0,,0,0,,0.53,0.87,21.48,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.89192008972,0,,0,0,,0.60,1.08,21.82,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.95814204216,0,,0,0,,2.13,10.78,25.40,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.97902202606,0,,0,0,,0.13,6.05,21.48,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,22.39,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.040399074554,0,,0,0,,0.24,3.19,25.45,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.09129905701,0,,0,0,,0.42,7.17,26.04,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.03,0.00,21.41,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.17794895172,0,,0,0,,0.27,10.01,22.87,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,21.23,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.22693300247,0,,0,0,,0.35,4.52,25.01,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.286037921906,0,,0,0,,0.37,10.57,26.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.30062890053,0,,0,0,,0.07,1.85,22.48,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.336268901825,0,,0,0,,0.45,7.38,23.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,21.31,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.407136917114,0,,0,0,,0.33,7.84,26.27,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.44535398483,0,,0,0,,0.26,0.00,22.16,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.04,6.36,25.97,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.48268389702,0,,0,0,,0.22,5.60,26.13,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.53579711914,0,,0,0,,0.26,1.57,21.04,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.56955909729,0,,0,0,,0.70,0.95,21.35,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.60949611664,0,,0,0,,0.19,1.56,21.49,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.682796001434,0,,0,0,,0.84,3.24,22.05,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.721621990204,0,,0,0,,0.86,6.14,21.91,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.04,0.00,21.58,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.803029060364,0,,0,0,,1.49,10.43,27.53,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.83122396469,0,,0,0,,0.82,6.43,21.83,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,21.43,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.87632703781,0,,0,0,,0.44,4.06,25.02,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61078.966103076935,0,,0,0,,2.44,10.20,22.93,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,23.67,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61079.00962305069,0,,0,0,,0.23,4.05,24.12,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61079.089888095856,0,,0,0,,3.71,11.45,25.54,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,1.45,0.00,22.72,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61079.19419693947,0,,0,0,,3.45,11.47,22.82,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.12,0.00,21.21,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61079.254173994064,0,,0,0,,0.28,2.30,20.76,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,21.16,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,22.55,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61079.31021308899,0,,0,0,,0.02,4.60,24.04,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61079.350434064865,0,,0,0,,0.69,2.43,21.50,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61079.394011974335,0,,0,0,,1.74,2.54,20.45,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61084.72645807266,0,,0,0,,1.15,1.02,21.06,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61084.77730703354,0,,0,0,,0.46,3.26,23.46,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61084.83815193176,0,,0,0,,0.18,6.40,24.51,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61084.910026073456,0,,0,0,,0.19,10.32,23.28,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61084.936193943024,0,,0,0,,0.16,0.65,21.25,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,23.35,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61084.99667596817,0,,0,0,,0.22,0.84,21.56,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61085.13633298874,0,,0,0,,0.68,0.98,28.18,[]
