node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing_time,processing_time,send_time,functions
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.66139388084,0,,0,0,,0.04,0.64,25.10,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.70479798317,0,,0,0,,0.03,0.13,25.51,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.77255511284,0,,0,0,,0.05,1.59,21.21,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,23.25,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.85922408104,0,,0,0,,0.06,0.66,25.30,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,24.46,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.94943404198,0,,0,0,,0.05,1.85,25.61,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66375.00006198883,0,,0,0,,0.04,0.84,25.10,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66375.03238606453,0,,0,0,,0.08,0.98,25.10,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66375.08551692963,0,,0,0,,0.04,0.88,23.42,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66375.11526203156,0,,0,0,,0.06,0.75,22.54,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66375.17284011841,0,,0,0,,0.06,0.86,23.22,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.31316304207,0,,0,0,,0.15,0.75,24.66,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.35860204697,0,,0,0,,0.03,0.51,21.04,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.38976788521,0,,0,0,,0.03,0.51,21.75,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.43242096901,0,,0,0,,0.04,0.62,25.21,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.4883389473,0,,0,0,,0.05,0.54,22.13,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.54530596733,0,,0,0,,0.04,0.78,23.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.59541893005,0,,0,0,,0.04,1.15,22.06,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,25.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.65771389008,0,,0,0,,0.07,0.86,25.37,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.7186820507,0,,0,0,,0.05,1.20,25.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.79470896721,0,,0,0,,0.04,0.58,21.61,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.83782696724,0,,0,0,,0.03,0.44,25.21,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.90128302574,0,,0,0,,0.10,1.41,21.74,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.91765904427,0,,0,0,,0.02,0.62,25.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,24.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66380.9793870449,0,,0,0,,0.06,0.66,22.48,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66381.01793003082,0,,0,0,,0.10,0.76,22.29,[]
